,,,,,,,,
PROVINCE,PHYSICAL TOWN,PHYSICAL SUBURB,PHYSICAL ADDRESS,PRACTICE NAME,PRACTICE TYPE,PRACTICE TYPE DESCRIPTION,PRACTICE  NUMBER,CONTACT NUMBER
WESTERN CAPE,PLETTENBERG BAY,PLETTENBERG BAY,119 LONGSHIPS DRIVE 6600,OASIS ADDICTIONS RECOVERY AND COUNSELLING CENTRE PTY LTD,47,DRUG AND ALCOHOL REHABILITATION,0739960,0445331752
WESTERN CAPE,PLETTENBERG BAY,PLETTENBERG BAY,95 LONGSHIPS DRIVE 6600,TWIN RIVERS ADDICTION RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0448850,0445336821
WESTERN CAPE,RETREAT,KIRSTENHOF,CNR SEA BREEZE & POLLSMOOR ROAD 7945,FAIRCARE HEALTH (PTY) LTD T/A CLE DU CAP,49,SUB ACUTE FACILITIES,0475254,0218155700
WESTERN CAPE,RIVERSDAL,STILBAAI,FYNBOS LEEFSTYLE LANDGOED THYS VISSIE ROAD 6674,CAREWELL SUB-ACUTE HOSPITAL,49,SUB ACUTE FACILITIES,0531642,0287541044
WESTERN CAPE,ROBERTSON,ROBERTSON,10 JOHAN DE JONGRY LANE 6705,CAREWELL ROBERTSON SUB-ACUTE,49,SUB ACUTE FACILITIES,0916617,0280502266
WESTERN CAPE,SOMERSET WEST,FIRGROVE,RUSTENBURG FARM WINERY ROAD 7130,RUSTENBURG ADDICTION CARE,47,DRUG AND ALCOHOL REHABILITATION,0599492,0879432293
WESTERN CAPE,SOMERSET WEST,PAARDEVLEI,4 GARDNER WILLIAMS AVENUE 7130,PAARDEVLEI PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,0584509,0218406600
WESTERN CAPE,SOMERSET WEST,SOMERSET WEST,1 ANDRIES PRETORIUS STREET 7130,BRIDGEWATER MANOR PRIVATE HEALTHCARE CENTRE T/A FAIRCARE TRUST,49,SUB ACUTE FACILITIES,0731234,0218155700
WESTERN CAPE,SOMERSET WEST,SOMERSET WEST,BAKKERSKLOOF ROAD 7130,HELDERBERG VILLAGE,49,SUB ACUTE FACILITIES,0178608,0218558300
WESTERN CAPE,SOMERSET WEST,SOMERSET WEST,HERITAGE PARK HAZELDEN DRIVE 7130,HERITAGE MANOR - (SOMERSET WEST),49,SUB ACUTE FACILITIES,0285684,0218155700
WESTERN CAPE,SOMERSET WEST,SOMERSET WEST,MAIN ROAD 7130,MEDICINIC VERGELEGEN DAY CLINIC,77,CLINICS - DAY SURGERY,0992178,0218509000
WESTERN CAPE,SOMERSET WEST,SOMERSET WEST,MAIN ROAD 7130,MEDICLINIC VERGELEGEN,58,HOSPITALS - PRIVATE,5808030,0218509000
WESTERN CAPE,SOMERSET WEST,SOMERSET WEST,RUSTENBURG FARM WINERY ROAD 7130,RUSTENBURG ADDICTION CARE PTY LTD,55,MENTAL HEALTH INSTITUTIONS,0753009,0879432293
WESTERN CAPE,STELLENBOSCH,DIE BOORD,P O BOX 12687 7600,MEDICLINIC WINELANDS ORTHOPAEDIC HOSPITAL,57,HOSPITALS - PRIVATE,0819409,0329453897
WESTERN CAPE,STELLENBOSCH,KYLEMORE,HELSHOOGTE ROAD 7600,OPTIMA RUSTENVREDE,55,MENTAL HEALTH INSTITUTIONS,0739367,0125675358
WESTERN CAPE,STELLENBOSCH,STELLENBOSCH,CNR OLD PAARL & KLIPHEUWEL ROAD 7599,HESKETH KING TREATMENT CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0185876,0218844600
WESTERN CAPE,STELLENBOSCH,STELLENBOSCH,MEDICLINIC CORPORATE OFFICE 7600,MEDICLINIC CRESCENT MENTAL HEALTH SERVICES (PTY) LTD,47,DRUG AND ALCOHOL REHABILITATION,1042238,0217627666
WESTERN CAPE,STELLENBOSCH,STELLENBOSCH,MEDICLINIC CORPORATE OFFICE 7600,MEDICLINIC CRESCENT MENTAL HEALTH SERVICES (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,1041983,0217627666
WESTERN CAPE,STELLENBOSCH,STELLENBOSCH,CNR SAFFRAAN & ROKEWOOD AVENUE 7600,MEDICLINIC STELLENBOSCH,58,HOSPITALS - PRIVATE,5808405,0218838571
WESTERN CAPE,STELLENBOSCH,STELLENBOSCH,CNR R44 & ELSIE DU TOIT DRIVE 7600,MEDICLINIC STELLENBOSCH DAY CLINIC,77,CLINICS - DAY SURGERY,0809608,0218612000
WESTERN CAPE,STELLENBOSCH,STELLENBOSCH,SAFFRAAN & ROKEWOOD AVENUE DIE BOORD 7600,MEDICLINIC WINELANDS DAY CLINIC,77,CLINICS - DAY SURGERY,0953296,0218616300
WESTERN CAPE,STELLENBOSCH,STELLENBOSCH,JONKERSVIEW MEDICAL CENTRE 12 JAN CILLIERS STREET 7600,SPESCARE STELLENBOSCH,49,SUB ACUTE FACILITIES,0772380,0213003039
WESTERN CAPE,STELLENBOSCH,STELLENBOSCH,12 JAN CILLIERS STREET 7599,SPESCARE STELLENBOSCH,59,PRIVATE REHAB HOSPITAL (ACUTE),1032151,0213005400
WESTERN CAPE,STRAND,STRAND,2 FIJNBOS CLOSE 7599,SPESCARE STELLENBOSCH,55,MENTAL HEALTH INSTITUTIONS,0518581,0515527950
WESTERN CAPE,STRAND,STRAND,2 CNR FIJNBOS CLOSE & ALTENA ROAD 7140,SPESCARE HELDERCARE SUB-ACUTE,49,SUB ACUTE FACILITIES,0133922,0832767595
WESTERN CAPE,TABLE VIEW,FLAMINGOVLEI,19A PENTZ DRIVE 7441,PALM TREE CLINIC PTY LTD,55,MENTAL HEALTH INSTITUTIONS,0493317,0215568080
