,,,,,,,,
PROVINCE,PHYSICAL TOWN,PHYSICAL SUBURB,PHYSICAL ADDRESS,PRACTICE NAME,PRACTICE TYPE,PRACTICE TYPE DESCRIPTION,PRACTICE  NUMBER,CONTACT NUMBER
EASTERN CAPE,EAST LONDON,EAST LONDON,"8 ST HELENA ROAD, BEACON BAY 5241",CURE DAY HOSPITAL,77,CLINICS - DAY SURGERY,1042262,0410720112
EASTERN CAPE,EAST LONDON,EAST LONDON,32 ALBANY STREET 5200,LIFE EAST LONDON PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,5808448,0437223128
EASTERN CAPE,EAST LONDON,EAST LONDON,2 FRANKLIN CRESCENT 5201,M & M FIRE T/A THE GOLDEN MILE,49,SUB ACUTE FACILITIES,0765287,0437400302
EASTERN CAPE,EAST LONDON,SOUTHERNWOOD,20 ST JAMES ROAD 5201,EAST LONDON DAY HOSPITAL,77,CLINICS - DAY SURGERY,1031171,0437434334
EASTERN CAPE,EAST LONDON,SOUTHERNWOOD,45 ST MARKS ROAD 5201,LIFE ST DOMINICS HOSPITAL,58,HOSPITALS - PRIVATE,5808294,0437030112
EASTERN CAPE,EAST LONDON,SOUTHERNWOOD,22 ST MARKS ROAD 5201,SANCA CENTAL EASTERN CAPE,47,DRUG AND ALCOHOL REHABILITATION,0057967,0437221210
EASTERN CAPE,EAST LONDON,SOUTHERNWOOD,LIFE ST DOMINIC'S HOSPITAL 38-40 ST MARKS ROAD 5201,ST DOMINICS PHYSICAL REHABILITATION,59,PRIVATE REHAB HOSPITAL (ACUTE),0276359,0437030151
EASTERN CAPE,EAST LONDON,SOUTHERNWOOD,16 ST ANDREWS ROAD 5201,ST MARKS CLINIC,55,MENTAL HEALTH INSTITUTIONS,5500141,0437432408
EASTERN CAPE,EMERALD HILL,CHELSEA,24 OLD SEAVIEW ROAD 6070,STEP AWAY TREATMENT CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0565407,0414670090
EASTERN CAPE,GQEBERHA,GQEBERHA,"205 CAPE ROAD, MILL PARK 6000",ADVANCED MEDICAL FORUM THEATRE,77,CLINICS - DAY SURGERY,1251937,0413730682
EASTERN CAPE,HUMANSDORP,HUMANSDORP,DU PLESSIS STREET 6300,ISIVIVANA PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0168386,0422951100
EASTERN CAPE,JEFFREYS BAY,JEFFREYS BAY,WONDERBOOM CRESCENT 6330,EEDENGLEN SUB-ACUTE FACILITY,49,SUB ACUTE FACILITIES,0245488,0422960381
EASTERN CAPE,JEFFREYS BAY,JEFFREYS BAY,CNR KORAAL & DOLLY VARDEN STREET 6330,JEFFMED,49,SUB ACUTE FACILITIES,0126594,0422932112
EASTERN CAPE,JEFFREYS BAY,JEFFREYS BAY,"UNIT 54, GARANZIA VILLAS, JEFFREYS BAY 6330",RISE RECOVERY,47,DRUG AND ALCOHOL REHABILITATION,1166964,0647747618
EASTERN CAPE,KAREEDOUW,KAREEDOUW,R62 KAREEDOUW 6400,MOOIUITZICHT TREATMENT CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0682624,0794905042
EASTERN CAPE,MATATIELE,MATATIELE,101 HIGH STREET 4730,MATATIELE PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0282820,0397373088
EASTERN CAPE,MOUNT FRERE,NKANGALA,19179 MANDELA PARK SAMORA MACHEL CRESCENT 5780,KWABHACA WELLNESS CENTRE,55,MENTAL HEALTH INSTITUTIONS,0982296,0829203232
EASTERN CAPE,MTHATHA,MTHATHA,30 DURHAM STREET 5100,(CRESTCARE) ST MARY`S PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,1207709,0634407195
EASTERN CAPE,MTHATHA,MTHATHA,59 NELSON MANDELA DRIVE 5100,CROSS-MED MTHATHA PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0553506,0474950600
EASTERN CAPE,MTHATHA,MTHATHA,30 DURHAM STREET 5099,MTHATHA STEP DOWN HOSPITAL,49,SUB ACUTE FACILITIES,1215612,0872934600
EASTERN CAPE,PORT ELIZABETH,CENTRAHIL,40 PARK DRIVE 6001,ST GEORGES HOSPITAL,58,HOSPITALS - PRIVATE,5807972,0413926034
EASTERN CAPE,PORT ELIZABETH,CENTRAL,22 PARK DRIVE 6001,HUNTERSCRAIG PSYCHIATRIC HOSPITAL,55,MENTAL HEALTH INSTITUTIONS,5500168,0415862664
EASTERN CAPE,PORT ELIZABETH,GQEBERHA,144 MAIN ROAD WARMER 6070,AKESO PORT ELIZABETH,55,MENTAL HEALTH INSTITUTIONS,1095986,0113010000
EASTERN CAPE,PORT ELIZABETH,KORSTEN,CNR KEMPSTON & DURBAN ROAD 6020,NEW MERCANTILE HOSPITAL,58,HOSPITALS - PRIVATE,5808626,0414012805
EASTERN CAPE,PORT ELIZABETH,PORT ELIZABETH,24 BIRD STREET 6001,NURTURE SUNNYSIDE (PTY) LTD,55,MENTAL HEALTH INSTITUTIONS,0787647,0414508206
EASTERN CAPE,PORT ELIZABETH,ST ALBANS,PLOT 17 RIETKUIL ROAD 6001,SHEPHERD'S FIELD KIBBUTZ,47,DRUG AND ALCOHOL REHABILITATION,0261793,0538025318
EASTERN CAPE,PORT ELIZABETH,WALMER,300 MAIN ROAD 6070,WELBEDACHT THERAPEUTIC CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0051586,0413674276
EASTERN CAPE,PORT ELIZABETH,PORT ELIZABETH,241 MAIN ROAD 6070,BAY EYE HOSPITAL,77,CLINICS - DAY SURGERY,1152440,0760702515
EASTERN CAPE,PORT ELIZABETH,WALMER DOWNS,52 ALAN DRIVE 6070,AURORA HOSPITAL (PHYSICAL REHABILITATION),59,PRIVATE REHAB HOSPITAL (ACUTE),0631264,0413687285
EASTERN CAPE,QUEENSTOWN,QUEENSTOWN,CNR EBDEN & GRIFFITH STREET 5319,LIFE QUEENSTOWN PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,5709156,0458084500
EASTERN CAPE,QUEENSTOWN,WESTBOURNE,LOWER KING EDWARD ROAD 5319,CARE CURE QUEENSTOWN (PTY) LTD,57,HOSPITALS - PRIVATE,0699942,0458384723
EASTERN CAPE,SOMERSET EAST,SOMERSET EAST,6 BELL STREET 5850,SOMERSET EAST CARE AND CURE UNIT,49,SUB ACUTE FACILITIES,1095188,0832621254
EASTERN CAPE,SOUTHERNWOOD,SOUTHERNWOOD,36 ST JAMES ROAD 5201,LIFE ST JAMES DAY HOSPITAL,77,CLINICS - DAY SURGERY,1155598,0437229685
EASTERN CAPE,ST FRANCIS BAY,SEA VISTA,6 DIANA CRESCENT 6312,OCEAN BAY RECOVERY,47,DRUG AND ALCOHOL REHABILITATION,1118846,0429400606
EASTERN CAPE,UITENHAGE,UITENHAGE,34 CUYLER STREET 6229,CUYLER CLINIC,58,HOSPITALS - PRIVATE,5808642,0419959000
